date,open,high,low,close,volume,volume.1,market_sentiment,news_sentiment
2025-06-27 11:20:00,106905.01,106921.64,106774.02,106869.2,905,0,,
2025-06-27 11:25:00,106869.13,106888.69,106765.48,106774.51,777,0,,
2025-06-27 11:30:00,106775.87,106819.1,106724.38,106766.8,798,0,,
2025-06-27 11:35:00,106766.8,106914.56,106751.65,106877.1,782,0,,
2025-06-27 11:40:00,106862.25,106880.35,106789.43,106880.35,801,0,,
2025-06-27 11:45:00,106880.26,107157.76,106877.01,107048.69,1066,0,,
2025-06-27 11:50:00,107048.69,107144.22,106977.38,106991.5,999,0,,
2025-06-27 11:55:00,106992.13,107092.61,106908.12,107043.56,918,0,,
2025-06-27 12:00:00,107043.6,107070.18,106931.47,106941.17,742,0,,
2025-06-27 12:05:00,106940.18,106998.42,106850.33,106917.93,918,0,,
2025-06-27 12:10:00,106921.38,106928.46,106857.77,106874.18,805,0,,
2025-06-27 12:15:00,106873.94,107011.04,106863.46,106972.33,855,0,,
2025-06-27 12:20:00,106977.24,106978.52,106917.04,106946.49,753,0,,
2025-06-27 12:25:00,106946.86,106984.17,106852.32,106895.84,734,0,,
2025-06-27 12:30:00,106893.45,107115.26,106893.45,107095.17,824,0,,
2025-06-27 12:35:00,107094.61,107110.67,107057.47,107099.37,713,0,,
2025-06-27 12:40:00,107099.8,107135.93,107072.39,107095.31,803,0,,
2025-06-27 12:45:00,107097.08,107139.64,107080.18,107139.64,757,0,,
2025-06-27 12:50:00,107140.97,107189.16,107094.57,107115.18,754,0,,
2025-06-27 12:55:00,107117.65,107202.73,107112.1,107147.82,508,0,,
2025-06-27 13:00:00,107147.81,107230.92,107147.81,107220.22,794,0,,
2025-06-27 13:05:00,107221.35,107227.48,107161.79,107193.17,456,0,,
2025-06-27 13:10:00,107193.17,107232.24,107006.01,107080.08,877,0,,
2025-06-27 13:15:00,107079.57,107190.54,107074.45,107098.73,656,0,,
2025-06-27 13:20:00,107103.48,107124.23,107078.45,107090.67,580,0,,
2025-06-27 13:25:00,107089.87,107090.53,107017.46,107076.5,499,0,,
2025-06-27 13:30:00,107076.04,107133.27,107038.28,107113.04,560,0,,
2025-06-27 13:35:00,107110.98,107118.07,107064.68,107074.12,454,0,,
2025-06-27 13:40:00,107076.71,107108.0,107059.58,107068.29,426,0,,
2025-06-27 13:45:00,107068.26,107083.56,107023.97,107056.64,540,0,,
2025-06-27 13:50:00,107057.92,107144.66,107022.06,107101.94,477,0,,
2025-06-27 13:55:00,107097.45,107104.27,107033.54,107050.47,398,0,,
2025-06-27 14:00:00,107050.47,107104.58,107037.81,107099.4,559,0,,
2025-06-27 14:05:00,107097.58,107115.16,107047.68,107072.65,498,0,,
2025-06-27 14:10:00,107072.76,107081.7,107042.64,107066.76,465,0,,
2025-06-27 14:15:00,107066.12,107210.82,107058.01,107124.2,591,0,,
2025-06-27 14:20:00,107121.79,107180.24,107012.3,107035.91,729,0,,
2025-06-27 14:25:00,107035.91,107071.12,106960.15,106969.82,536,0,,
2025-06-27 14:30:00,106972.53,107021.39,106968.13,107021.36,435,0,,
2025-06-27 14:35:00,107021.34,107054.19,106979.43,107014.38,415,0,,
2025-06-27 14:40:00,107014.37,107048.45,107002.04,107034.1,484,0,,
2025-06-27 14:45:00,107036.26,107075.82,106989.41,107064.68,515,0,,
2025-06-27 14:50:00,107069.11,107079.57,106944.97,106975.25,509,0,,
2025-06-27 14:55:00,106974.44,107041.03,106974.36,107031.05,330,0,,
2025-06-27 15:00:00,107026.01,107064.43,106967.0,106978.89,695,0,,
2025-06-27 15:05:00,106977.99,107080.01,106959.55,107044.72,677,0,,
2025-06-27 15:10:00,107044.53,107044.53,106979.78,107007.42,526,0,,
2025-06-27 15:15:00,107007.94,107031.85,106945.47,107030.88,642,0,,
2025-06-27 15:20:00,107027.73,107249.45,107020.02,107211.37,936,0,,
2025-06-27 15:25:00,107211.37,107240.91,107197.29,107207.85,550,0,,
2025-06-27 15:30:00,107208.31,107226.51,106809.16,107025.47,1375,0,,
2025-06-27 15:35:00,107023.62,107062.48,106880.36,106886.39,889,0,,
2025-06-27 15:40:00,106886.36,106940.0,106768.4,106776.46,1032,0,,
2025-06-27 15:45:00,106776.46,106871.89,106744.8,106827.16,911,0,,
2025-06-27 15:50:00,106826.26,106897.07,106796.8,106833.75,789,0,,
2025-06-27 15:55:00,106826.71,106826.71,106630.45,106710.17,980,0,,
2025-06-27 16:00:00,106709.93,106778.62,106632.08,106778.62,996,0,,
2025-06-27 16:05:00,106776.51,106866.59,106713.54,106857.13,892,0,,
