date,open,high,low,close,volume,volume
2025-05-06 08:15:00,3358.41,3359.65,3356.87,3358.65,503,0
2025-05-06 08:20:00,3358.63,3359.17,3353.97,3354.38,750,0
2025-05-06 08:25:00,3354.38,3356.41,3354.2,3355.85,602,0
2025-05-06 08:30:00,3355.85,3359.78,3353.03,3355.19,1066,0
2025-05-06 08:35:00,3355.19,3356.18,3352.24,3354.44,809,0
2025-05-06 08:40:00,3354.44,3356.04,3351.32,3351.91,912,0
2025-05-06 08:45:00,3351.91,3358.76,3350.11,3357.48,1172,0
2025-05-06 08:50:00,3357.46,3360.85,3357.44,3359.1,898,0
2025-05-06 08:55:00,3358.97,3362.0,3357.95,3361.79,718,0
2025-05-06 09:00:00,3361.79,3364.4,3360.0,3360.16,837,0
2025-05-06 09:05:00,3360.21,3361.04,3358.88,3358.89,722,0
2025-05-06 09:10:00,3358.89,3364.37,3358.48,3362.06,769,0
2025-05-06 09:15:00,3362.06,3367.69,3361.18,3366.27,997,0
2025-05-06 09:20:00,3366.3,3367.08,3363.34,3363.47,864,0
2025-05-06 09:25:00,3363.47,3364.92,3360.62,3363.19,853,0
2025-05-06 09:30:00,3363.19,3364.51,3361.79,3362.17,782,0
2025-05-06 09:35:00,3362.29,3366.15,3362.21,3364.73,475,0
2025-05-06 09:40:00,3364.73,3367.19,3364.38,3366.66,855,0
2025-05-06 09:45:00,3366.66,3366.98,3364.56,3364.92,681,0
2025-05-06 09:50:00,3364.88,3366.34,3363.82,3364.67,638,0
2025-05-06 09:55:00,3364.67,3365.13,3363.1,3364.49,694,0
2025-05-06 10:00:00,3364.49,3369.67,3364.49,3366.65,1156,0
2025-05-06 10:05:00,3366.65,3368.72,3365.28,3368.64,665,0
2025-05-06 10:10:00,3368.64,3370.48,3367.65,3367.65,793,0
2025-05-06 10:15:00,3367.65,3368.42,3364.92,3366.69,562,0
2025-05-06 10:20:00,3366.69,3374.6,3366.57,3374.12,837,0
2025-05-06 10:25:00,3374.09,3375.78,3373.25,3374.22,938,0
2025-05-06 10:30:00,3374.18,3378.5,3373.02,3377.87,959,0
